Epoch 79/100, Train loss: 0.081, Test accuracy: 0.871, Test loss: 0.913
Epoch 80/100, Train loss: 0.068, Test accuracy: 0.872, Test loss: 0.932
Epoch 81/100, Train loss: 0.062, Test accuracy: 0.871, Test loss: 0.899
Epoch 82/100, Train loss: 0.068, Test accuracy: 0.871, Test loss: 1.000
Epoch 83/100, Train loss: 0.062, Test accuracy: 0.872, Test loss: 0.924
Epoch 84/100, Train loss: 0.061, Test accuracy: 0.873, Test loss: 1.002
Epoch 85/100, Train loss: 0.061, Test accuracy: 0.867, Test loss: 0.966
Epoch 86/100, Train loss: 0.071, Test accuracy: 0.875, Test loss: 0.965
Epoch 87/100, Train loss: 0.071, Test accuracy: 0.867, Test loss: 0.974
Epoch 88/100, Train loss: 0.075, Test accuracy: 0.867, Test loss: 0.947
Epoch 89/100, Train loss: 0.088, Test accuracy: 0.869, Test loss: 0.915
Epoch 90/100, Train loss: 0.071, Test accuracy: 0.867, Test loss: 0.975
Epoch 91/100, Train loss: 0.074, Test accuracy: 0.868, Test loss: 0.978
Epoch 92/100, Train loss: 0.085, Test accuracy: 0.871, Test loss: 0.943
Epoch 93/100, Train loss: 0.064, Test accuracy: 0.870, Test loss: 1.011
Epoch 94/100, Train loss: 0.067, Test accuracy: 0.865, Test loss: 1.034
Epoch 95/100, Train loss: 0.064, Test accuracy: 0.873, Test loss: 0.976
Epoch 96/100, Train loss: 0.055, Test accuracy: 0.871, Test loss: 1.022
Epoch 97/100, Train loss: 0.075, Test accuracy: 0.863, Test loss: 0.960
Epoch 98/100, Train loss: 0.057, Test accuracy: 0.871, Test loss: 1.015
Epoch 99/100, Train loss: 0.068, Test accuracy: 0.869, Test loss: 1.028
Epoch 100/100, Train loss: 0.065, Test accuracy: 0.870, Test loss: 1.040
